Comment,Designator,Footprint,LCSC
SN65HVD231,U3,SOIC-8_3.9x4.9mm_P1.27mm,C129257
16 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
10n,"C25,C37",C_0402_1005Metric,C15195
10u,"C12,C13",C_0603_1608Metric,C1525
33p,C22,C_0402_1005Metric,C1562
1u,"C28,C29",C_0603_1608Metric,C15849
100u,C24,CP_EIA-3528-21_Kemet-B,C16133
0R,"R28,R29,R30,R35,R36,R38,R39",R_0402_1005Metric,C17168
4u7,C1,C_0603_1608Metric,C19666
BC817,"Q1,Q2,Q4",SOT-23,C2150
100R,"R4,R5",R_0402_1005Metric,C25076
510R,"R7,R9",R_0402_1005Metric,C25123
100k,"R10,R12",R_0402_1005Metric,C25741
10k,"R1,R34,R37",R_0402_1005Metric,C25744
15k,R32,R_0402_1005Metric,C25756
20k,R33,R_0402_1005Metric,C25765
27k,"R11,R13",R_0402_1005Metric,C25771
47k,"R15,R19",R_0402_1005Metric,C25792
51k,R31,R_0402_1005Metric,C25794
2k2,"R17,R6,R8",R_0402_1005Metric,C25879
4k7,"R14,R18",R_0402_1005Metric,C25900
PESD2CAN,D1,SOT-23,C284078
100n,"C11,C14,C18,C2,C23,C3,C36,C4,C5,C6,C7,C8",C_0402_1005Metric,C307331
RST,"SW1,SW3",XKB_TS_1187A,C318884
10p,C21,C_0402_1005Metric,C32949
22u,"C15,C16,C17",C_0805_2012Metric,C45783
IoT_ANT,"AE1,AE2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
TPS562201,U2,SOT-23-6,C90061
STM32L431RCTx,U1,LQFP-64_10x10mm_P0.5mm,C92468
LED,D2,D_0603_1608Metric,
