Designator,Mid X,Mid Y,Rotation,Layer
C1,146.31,-70.57,180.0,top
C10,139.85,-85.04,270.0,top
C11,165.31,-77.37,90.0,top
C14,166.34,-92.425,270.0,top
C15,168.16,-92.435,270.0,top
C16,164.85,-92.365,270.0,top
C17,159.1,-95.255,0.0,top
C18,162.57,-100.215,90.0,top
C19,159.93,-100.225,90.0,top
C2,150.3675,-85.915,180.0,top
C20,161.855,-71.179999,90.0,top
C21,138.34,-70.17,90.0,top
C3,157.2175,-85.905,180.0,top
C4,161.3075,-74.335,270.0,top
C5,149.5875,-70.285,0.0,top
C6,145.7375,-73.905,90.0,top
C7,145.3675,-80.225,90.0,top
D1,175.46,-85.445,270.0,top
D2,150.5975,-87.745,0.0,top
Q1,162.2,-83.4925,270.0,top
Q2,166.68,-83.5225,270.0,top
R1,173.17,-82.335,180.0,top
R10,145.22,-102.535,90.0,top
R11,150.48,-90.84,0.0,top
R12,153.11,-90.82,180.0,top
R15,148.2775,-87.245,270.0,top
R16,162.71,-87.225,180.0,top
R17,166.15,-87.225,0.0,top
R18,161.2175,-79.315,270.0,top
R19,164.44,-80.92,0.0,top
R2,175.74,-81.865,90.0,top
R20,168.67,-87.225,0.0,top
R21,169.17,-84.425,270.0,top
R22,161.03,-89.015,180.0,top
R23,158.46,-89.015,180.0,top
R24,161.345,-69.729999,0.0,top
R25,142.96,-71.54,90.0,top
R3,144.1575,-77.555,0.0,top
R4,166.521298,-73.787611,0.0,top
R5,148.93,-95.58,270.0,top
R6,148.93,-98.89,270.0,top
R7,143.9,-89.345,0.0,top
R8,145.22,-92.795,90.0,top
R9,145.22,-97.685,90.0,top
SW1,143.58,-85.1,180.0,top
SW2,172.238908,-71.25,180.0,top
U1,153.3175,-78.155,0.0,top
U2,169.76,-77.39,0.0,top
U3,159.87,-92.475,180.0,top
Y1,140.6975,-76.455,270.0,top
