#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:40:00Z,4913.9652,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:41:00Z,4913.960916666667,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:42:00Z,4913.961020000001,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:43:00Z,4913.96608,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:44:00Z,4913.966539999999,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:45:00Z,4913.9604,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:46:00Z,4913.96015,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:47:00Z,4913.960499999999,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:48:00Z,4913.934139999999,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:49:00Z,4913.772266666666,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:50:00Z,4913.78952,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:51:00Z,4913.8019,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:52:00Z,4914.024633333334,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:53:00Z,4914.43562,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:54:00Z,4915.2221,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:55:00Z,4915.596380000001,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:56:00Z,4915.71915,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:57:00Z,4915.751375,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:58:00Z,4915.74848,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T14:59:00Z,4915.7496833333325,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T15:00:00Z,4915.74836,lat,location
,,0,2023-05-21T13:17:46.894135937Z,2023-05-21T16:17:46.894135937Z,2023-05-21T15:01:00Z,4915.74388,lat,location
