#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:16:00Z,69.2,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:17:00Z,73,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:29:00Z,89.8,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:30:00Z,88.85714285714286,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:31:00Z,88.75,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:32:00Z,88.875,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:33:00Z,89.625,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:34:00Z,89.71428571428571,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:35:00Z,90.7,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:36:00Z,92.22222222222223,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:37:00Z,93,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:38:00Z,92.625,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:39:00Z,91.44444444444444,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:40:00Z,91.28571428571429,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:41:00Z,90.125,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:42:00Z,89.55555555555556,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:43:00Z,89,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:44:00Z,88.625,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:45:00Z,90,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:46:00Z,89,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:47:00Z,89.25,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:48:00Z,90,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:49:00Z,89,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:50:00Z,92,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:51:00Z,91.22222222222223,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:52:00Z,91.66666666666667,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:53:00Z,92.83333333333333,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:54:00Z,94.66666666666667,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:55:00Z,96.75,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:56:00Z,95.375,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:57:00Z,96.44444444444444,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:58:00Z,95.71428571428571,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T13:59:00Z,94.44444444444444,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:00:00Z,94.22222222222223,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:01:00Z,94.71428571428571,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:02:00Z,95.14285714285714,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:03:00Z,94.8,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:04:00Z,95,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:05:00Z,96.125,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:06:00Z,96.85714285714286,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:07:00Z,94.77777777777777,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:08:00Z,95.875,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:09:00Z,96.125,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:10:00Z,95,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:11:00Z,92.33333333333333,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:12:00Z,91,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:13:00Z,86.57142857142857,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:14:00Z,90,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:15:00Z,88.625,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:16:00Z,90,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:17:00Z,88.25,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:18:00Z,88.57142857142857,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:19:00Z,87.63636363636364,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:20:00Z,88.22222222222223,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:21:00Z,89,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:22:00Z,89.61538461538461,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:23:00Z,88.4,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:24:00Z,89.16666666666667,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:25:00Z,89.88888888888889,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:26:00Z,89.5,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:27:00Z,88.42857142857143,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:28:00Z,88.4,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:29:00Z,88.27272727272727,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:30:00Z,87.57142857142857,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:31:00Z,88,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:32:00Z,87.33333333333333,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:33:00Z,87.66666666666667,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:34:00Z,87.5,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:35:00Z,89,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:36:00Z,90.33333333333333,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:37:00Z,89.16666666666667,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:38:00Z,88.125,coolant_temp,OBD
,,0,2023-05-25T13:00:00Z,2023-05-25T16:00:00Z,2023-05-25T14:39:00Z,88.875,coolant_temp,OBD
