Comment,Designator,Footprint,LCSC
10k,"R15,R4",R_0402_1005Metric,C11616
SN65HVD231,U2,SOIC-8_3.9x4.9mm_P1.27mm,C129257
8p,"C8,C9",C_0402_1005Metric,C130118
33k2,R13,R_0402_1005Metric,C130276
16 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
100n,"C10,C11,C17,C2,C3,C4,C5,C6,C7",C_0402_1005Metric,C1525
0R,R3,R_0402_1005Metric,C17168
10k,R14,R_0402_1005Metric,C190095
4u7,C1,C_0603_1608Metric,C19666
s8050,"Q1,Q2",SOT-23,C2146
22R,"R10,R5,R6,R7,R8,R9",R_0603_1608Metric,C23345
100R,"R1,R2",R_0402_1005Metric,C25076
510R,"R16,R17",R_0402_1005Metric,C25123
100k,R20,R_0402_1005Metric,C25741
27k,R21,R_0402_1005Metric,C25771
2k2,"R18,R19",R_0402_1005Metric,C25879
4k7,"R11,R12",R_0402_1005Metric,C25900
100n,C16,C_0402_1005Metric,C307331
BOOT0,SW2,XKB_SS-3235,C381097
RST,SW1,TS-1092S,C520860
22u,"C18,C19",C_1206_3216Metric,C5672
LED,D2,LED_0603_1608Metric,C72038
TPS562201,U3,SOT-23-6,C90061
STM32L431RCTx,U1,LQFP-64_10x10mm_P0.5mm,C92468
10u,"C14,C15",C_0603_1608Metric,C96446
